         73459485 function calls (73452122 primitive calls) in 27.958 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      872    0.000    0.000    0.001    0.000 colors.py:132(_is_nth_color)
        3    0.000    0.000    0.000    0.000 {built-in method gc.collect}
      456    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      295    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
      834    0.000    0.000    0.000    0.000 inspect.py:513(_is_wrapper)
       31    0.000    0.000    0.000    0.000 {built-in method io.open}
      963    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      349    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      717    0.000    0.000    0.024    0.000 inspect.py:3091(signature)
      561    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      720    0.000    0.000    0.000    0.000 functools.py:64(wraps)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
     3636    0.000    0.000    0.000    0.000 inspect.py:2527(name)
      266    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.038    0.038 rcsetup.py:1(<module>)
       88    0.000    0.000    0.003    0.000 deprecation.py:353(delete_parameter)
      943    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        2    0.000    0.000    0.001    0.000 decoder.py:343(raw_decode)
      295    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      596    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      657    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.002    0.002 pyplot.py:2262(_setup_pyplot_info_docstrings)
      717    0.000    0.000    0.024    0.000 inspect.py:2839(from_callable)
      471    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      174    0.000    0.000    0.001    0.000 enum.py:833(__and__)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      410    0.000    0.000    0.002    0.000 pyparsing.py:1423(copy)
      233    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      943    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      101    0.000    0.000    0.001    0.000 inspect.py:544(_finddoc)
      514    0.000    0.000    0.012    0.000 re.py:198(search)
       32    0.000    0.000    0.004    0.000 colors.py:915(from_list)
      425    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     2475    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       13    0.000    0.000    0.000    0.000 enum.py:176(<setcomp>)
      306    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
        1    0.000    0.000    0.006    0.006 mathtext.py:1(<module>)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
        1    0.000    0.000    0.142    0.142 pyplot.py:4(<module>)
      174    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
     1971    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
