         102885391 function calls (102878028 primitive calls) in 35.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2109    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
    266/3    0.001    0.000    0.271    0.090 <frozen importlib._bootstrap_external>:777(exec_module)
      295    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     1624    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 _compat_pickle.py:9(<module>)
   260/11    0.000    0.000    0.002    0.000 pyparsing.py:1647(_parseNoCache)
      266    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      616    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
       30    0.000    0.000    0.001    0.000 function_base.py:23(linspace)
     1414    0.000    0.000    0.002    0.000 re.py:188(match)
     5748    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       13    0.000    0.000    0.001    0.000 enum.py:134(__new__)
     2647    0.000    0.000    0.001    0.000 enum.py:562(__new__)
       72    0.000    0.000    0.006    0.000 __init__.py:1278(_preprocess_data)
       11    0.000    0.000    0.038    0.003 artist.py:1452(pprint_setters)
     1938    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
      410    0.000    0.000    0.001    0.000 copy.py:258(_reconstruct)
     6119    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1243    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      233    0.000    0.000    0.000    0.000 pyparsing.py:1400(__init__)
     2566    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      270    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
      174    0.000    0.000    0.016    0.000 sre_parse.py:937(parse)
      341    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      798    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
     3891    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
  318/314    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       16    0.000    0.000    0.002    0.000 {built-in method builtins.eval}
     2645    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      428    0.000    0.000    0.003    0.000 rcsetup.py:377(validate_color)
    379/6    0.000    0.000    0.261    0.043 {built-in method builtins.__import__}
      160    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
      446    0.000    0.000    0.002    0.000 colors.py:178(to_rgba)
      717    0.000    0.000    0.023    0.000 inspect.py:2839(from_callable)
      108    0.000    0.000    0.004    0.000 docstring.py:38(__call__)
      429    0.000    0.000    0.001    0.000 artist.py:1429(aliased_name)
       31    0.000    0.000    0.000    0.000 {built-in method io.open}
